,_month_,year,oil_companies_,quantity_000_metric_tonnes_
0,April,2023,"IOCL-BARAUNI,BIHAR",546.51
1,April,2023,IOCL TOTAL,6037.64
2,April,2023,ONGC TOTAL,1475.55
3,April,2023,RIL TOTAL,5355.74
4,May,2023,"IOCL-MATHURA, UTTAR PRADESH",833.52
5,May,2023,"IOCL-PANIPAT, HARYANA",1263.15
6,May,2023,"IOCL-BONGAIGAON,ASSAM",257.90
7,May,2023,"CPCL-MANALI, TAMILNADU",941.28
8,May,2023,"BPCL-MUMBAI, MAHARASHTRA",1332.15
9,May,2023,"BPCL-KOCHI, KERALA",1464.34
10,May,2023,"NRL-NUMALIGARH, ASSAM",61.30
11,May,2023,"HPCL-VISAKH,ANDHRA PRADESH",1066.12
12,June,2023,"IOCL-HALDIA, WEST BENGAL",691.68
13,June,2023,"IOCL-MATHURA, UTTAR PRADESH",808.16
14,June,2023,"IOCL-BONGAIGAON,ASSAM",251.25
15,June,2023,"CPCL-MANALI, TAMILNADU",816.58
16,June,2023,CPCL-TOTAL,816.58
17,June,2023,"BPCL-KOCHI, KERALA",1467.81
18,June,2023,HPCL-TOTAL,2922.02
19,July,2023,"IOCL-BARAUNI,BIHAR",559.56
20,July,2023,"IOCL-HALDIA, WEST BENGAL",677.19
21,July,2023,"IOCL-PARADIP,ODISHA",1394.49
22,July,2023,"BPCL-KOCHI, KERALA",1389.29
23,July,2023,BPCL-TOTAL,2805.32
24,July,2023,"HPCL-MUMBAI,MAHARASHTRA",892.93
25,August,2023,"IOCL-BARAUNI,BIHAR",590.77
26,August,2023,"IOCL-GUWAHATI,ASSAM",94.25
27,August,2023,"IOCL-BONGAIGAON,ASSAM",254.94
28,August,2023,CPCL-TOTAL,1000.38
29,August,2023,"BPCL-MUMBAI, MAHARASHTRA",1386.54
30,August,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",5.03
31,August,2023,"HPCL-MUMBAI,MAHARASHTRA",785.24
32,August,2023,"NEL-VADINAR,GUJARAT",1727.11
33,September,2023,"IOCL-BARAUNI,BIHAR",529.03
34,September,2023,"IOCL-PANIPAT, HARYANA",1194.47
35,September,2023,"CPCL-MANALI, TAMILNADU",1007.97
36,September,2023,"MRPL-MANGALORE,KARNATAKA",764.90
37,September,2023,GRAND TOTAL,20288.50
38,October,2023,"IOCL-HALDIA, WEST BENGAL",674.35
39,October,2023,"IOCL-BONGAIGAON,ASSAM",257.97
40,October,2023,CPCL-TOTAL,1007.23
41,October,2023,"NRL-NUMALIGARH, ASSAM",285.83
42,October,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.81
43,October,2023,ONGC TOTAL,1359.39
44,October,2023,"HMEL-GGSR, BATHINDA, PUNJAB",1104.28
45,October,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",1595.32
46,November,2023,"IOCL-GUWAHATI,ASSAM",33.13
47,November,2023,"NRL-NUMALIGARH, ASSAM",280.22
48,November,2023,"ONGC-TATIPAKA,ANDHRA PRADESH",4.60
49,November,2023,"MRPL-MANGALORE,KARNATAKA",1499.20
50,November,2023,GRAND TOTAL,21668.32
51,December,2023,"IOCL-MATHURA, UTTAR PRADESH",815.41
52,December,2023,HPCL-TOTAL,2860.57
53,January,2024,"IOCL-PARADIP,ODISHA",1363.85
54,January,2024,IOCL TOTAL,6091.56
55,January,2024,"CPCL-MANALI, TAMILNADU",1001.24
56,January,2024,"BPCL-MUMBAI, MAHARASHTRA",1156.90
57,January,2024,"BPCL-KOCHI, KERALA",1588.22
58,January,2024,"NRL-NUMALIGARH, ASSAM",261.67
59,January,2024,"ONGC-TATIPAKA,ANDHRA PRADESH",6.01
60,January,2024,ONGC TOTAL,1533.49
61,January,2024,"HPCL-MUMBAI,MAHARASHTRA",853.95
62,January,2024,"RIL,JAMNAGAR,GUJARAT",2966.81
63,February,2024,CPCL-TOTAL,1013.93
64,February,2024,"HPCL-MUMBAI,MAHARASHTRA",679.65
65,February,2024,"RIL,JAMNAGAR,GUJARAT",2695.09
66,February,2024,RIL TOTAL,4887.22
67,March,2024,"IOCL-KOYALI, GUJARAT",1370.42
68,March,2024,"BPCL-MUMBAI, MAHARASHTRA",1461.54
69,March,2024,BPCL-TOTAL,3650.05
70,March,2024,"MRPL-MANGALORE,KARNATAKA",1522.17
71,March,2024,HPCL-TOTAL,2970.55
72,March,2024,"RIL-(SEZ), JAMNAGAR,GUJARAT",2562.42
73,April,2022,"IOCL-GUWAHATI,ASSAM",89.86
74,April,2022,CPCL-TOTAL,904.20
75,April,2022,BPCL-TOTAL,3300.36
76,April,2022,ONGC TOTAL,1487.02
77,April,2022,HPCL-TOTAL,2569.16
78,May,2022,"IOCL-MATHURA, UTTAR PRADESH",812.96
79,May,2022,"IOCL-PANIPAT, HARYANA",1252.50
80,May,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.78
81,May,2022,"NEL-VADINAR,GUJARAT",1725.51
82,June,2022,"IOCL-BARAUNI,BIHAR",559.48
83,June,2022,"IOCL-PANIPAT, HARYANA",1253.85
84,June,2022,IOCL TOTAL,6276.80
85,June,2022,"BPCL-KOCHI, KERALA",1363.85
86,June,2022,BORL-BINA,649.82
87,June,2022,"MRPL-MANGALORE,KARNATAKA",1428.97
88,June,2022,ONGC TOTAL,1435.69
89,June,2022,RIL TOTAL,5361.90
90,June,2022,GRAND TOTAL,21574.57
91,July,2022,"IOCL-MATHURA, UTTAR PRADESH",714.64
92,July,2022,"IOCL-BONGAIGAON,ASSAM",211.02
93,July,2022,IOCL TOTAL,6167.19
94,July,2022,BPCL-TOTAL,2699.54
95,July,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1109.49
96,August,2022,"CPCL-MANALI, TAMILNADU",940.43
97,August,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",3.93
